hidden_layers,loss_types,learning_rates,epochs,batch_sizes,train,test
4-4,absolute,0.001,100,2,1.75250700701663,2.22784965031258
5-2,absolute,0.001,100,2,1.76178226392048,2.25664640102931
6-3-2,absolute,0.001,100,2,1.83274143752335,2.21667087373902
8-4-2,absolute,0.001,100,2,1.69463153656871,2.36484195917136
7-4-3-2,absolute,0.001,100,2,1.70769343962407,2.28072422646767
9-6-4-3,absolute,0.001,100,2,2.05805072709188,2.51706096752191
10-5-3-2,absolute,0.001,100,2,1.71152423797874,2.26414749659905
4-4,squared,0.001,100,2,1.98123890760622,2.50937400097314
5-2,squared,0.001,100,2,1.83609278114487,2.30023547435227
6-3-2,squared,0.001,100,2,1.97207983715304,2.61191048090707
8-4-2,squared,0.001,100,2,1.85347690839209,2.46380178984037
7-4-3-2,squared,0.001,100,2,1.68559815206654,2.39717622388425
9-6-4-3,squared,0.001,100,2,1.87906285995813,2.64820599234437
10-5-3-2,squared,0.001,100,2,1.80087235186675,2.52897321839169
4-4,huber,0.001,100,2,2.1161306552262,2.40256383427112
5-2,huber,0.001,100,2,1.93537118931043,2.29042525565377
6-3-2,huber,0.001,100,2,1.94938472655312,2.42548546782459
8-4-2,huber,0.001,100,2,2.02591258304974,2.4766473663103
7-4-3-2,huber,0.001,100,2,2.01607259745211,2.3658928984496
9-6-4-3,huber,0.001,100,2,1.82796402205221,2.36647243556501
10-5-3-2,huber,0.001,100,2,1.93544854439556,2.38272794815271
4-4,pseudo-huber,0.001,100,2,1.89228525175749,2.30994006735497
5-2,pseudo-huber,0.001,100,2,1.98040950857847,2.42375568907663
6-3-2,pseudo-huber,0.001,100,2,2.05011604612109,2.3765162978797
8-4-2,pseudo-huber,0.001,100,2,2.00691048574864,2.34114070692586
7-4-3-2,pseudo-huber,0.001,100,2,1.77899386210188,2.35620440233121
9-6-4-3,pseudo-huber,0.001,100,2,1.90736220374109,2.3669371991573
10-5-3-2,pseudo-huber,0.001,100,2,1.90003116076206,2.34886644082451
4-4,absolute,0.003,100,2,1.96655704756734,2.42791854940006
5-2,absolute,0.003,100,2,1.77766130408308,2.27523262817446
6-3-2,absolute,0.003,100,2,1.41740883455793,1.864573980861
8-4-2,absolute,0.003,100,2,2.22407261402276,2.57647302458132
7-4-3-2,absolute,0.003,100,2,1.44132959407517,1.9927276359939
9-6-4-3,absolute,0.003,100,2,1.90348716092377,2.57045682753347
10-5-3-2,absolute,0.003,100,2,1.5329903117444,2.33714427784361
4-4,squared,0.003,100,2,1.90614722003871,2.35484877208602
5-2,squared,0.003,100,2,1.81758363951031,2.20325079481643
6-3-2,squared,0.003,100,2,1.63609211910314,2.36297567259642
8-4-2,squared,0.003,100,2,1.56796774379191,2.5272580420755
7-4-3-2,squared,0.003,100,2,1.29197452747745,1.59820613774307
9-6-4-3,squared,0.003,100,2,1.1661782527326,1.90105086194985
10-5-3-2,squared,0.003,100,2,1.45130908939785,2.46033154274543
4-4,huber,0.003,100,2,1.7798391347515,2.48682818350897
5-2,huber,0.003,100,2,1.70509694727353,2.26962833518403
6-3-2,huber,0.003,100,2,1.83580479481561,2.32439678471512
8-4-2,huber,0.003,100,2,1.51313898887289,2.36394370007511
7-4-3-2,huber,0.003,100,2,1.39454742819365,2.16070412154004
9-6-4-3,huber,0.003,100,2,1.60924172361285,2.77517907515799
10-5-3-2,huber,0.003,100,2,0.891567956378307,1.2531413796379
4-4,pseudo-huber,0.003,100,2,1.52950972930951,1.81346203122328
5-2,pseudo-huber,0.003,100,2,1.75164360549032,2.35746467597784
6-3-2,pseudo-huber,0.003,100,2,1.86798969038195,2.4203781223452
8-4-2,pseudo-huber,0.003,100,2,1.77903835759077,2.39864551352969
7-4-3-2,pseudo-huber,0.003,100,2,1.89496183599771,2.39920726690246
9-6-4-3,pseudo-huber,0.003,100,2,1.47241240790639,2.48997466080865
10-5-3-2,pseudo-huber,0.003,100,2,1.48959431431879,1.96410482280398
4-4,absolute,0.01,100,2,1.92729944664462,2.17593548830422
5-2,absolute,0.01,100,2,4.00677574357512,4.48701295597594
6-3-2,absolute,0.01,100,2,1.72043007486973,2.24753410963902
8-4-2,absolute,0.01,100,2,1.86824374682862,2.50423085069725
7-4-3-2,absolute,0.01,100,2,2.06563160281909,2.68266517687284
9-6-4-3,absolute,0.01,100,2,1.42624553479044,1.90342659487381
10-5-3-2,absolute,0.01,100,2,1.72488294594114,2.27982539393823
4-4,squared,0.01,100,2,2.19907740427154,2.68141942130625
5-2,squared,0.01,100,2,1.86481798527826,1.99616600016164
6-3-2,squared,0.01,100,2,1.50036733452683,1.69243354172904
8-4-2,squared,0.01,100,2,1.03128544309855,1.43523119160083
7-4-3-2,squared,0.01,100,2,1.88313237888699,2.34905457854209
9-6-4-3,squared,0.01,100,2,1.15426589865176,1.76541388549254
10-5-3-2,squared,0.01,100,2,1.24525750929751,2.07497835449667
4-4,huber,0.01,100,2,0.980624256651307,1.27228459645247
5-2,huber,0.01,100,2,2.35086946733812,3.10787752681175
6-3-2,huber,0.01,100,2,1.31573187598345,1.83170115882177
